time,MocapIndex,mocapX,mocapY,mocapZ,rotX,rotY,rotZ,rotW
1685435990.405689,15,-8.166324615478516,-8.270002365112305,1.4849432706832886,0.036242321133613586,-0.03064659982919693,0.8681395053863525,0.4940456449985504
1685435990.4142222,15,-8.166324615478516,-8.270005226135254,1.4849389791488647,0.036252595484256744,-0.030626079067587852,0.8681149482727051,0.49408939480781555
1685435990.4222064,15,-8.1663179397583,-8.270012855529785,1.4849395751953125,0.036276839673519135,-0.030731381848454475,0.8681154847145081,0.49407997727394104
1685435990.4312105,15,-8.166325569152832,-8.270002365112305,1.4849402904510498,0.0363488644361496,-0.03060317225754261,0.8681004047393799,0.4941091239452362
1685435990.4398813,15,-8.166325569152832,-8.270002365112305,1.4849427938461304,0.03620653972029686,-0.03061291016638279,0.8681067824363708,0.49410784244537354
1685435990.4488587,15,-8.166332244873047,-8.269997596740723,1.4849478006362915,0.03621913865208626,-0.030695408582687378,0.8681298494338989,0.4940613806247711
1685435990.4563715,15,-8.166325569152832,-8.269997596740723,1.484944462776184,0.03626260533928871,-0.030713003128767014,0.8681225776672363,0.4940696656703949
1685435990.48077,15,-8.166322708129883,-8.270008087158203,1.4849449396133423,0.03621890768408775,-0.030719093978405,0.8681183457374573,0.49407997727394104
1685435990.483769,15,-8.166324615478516,-8.27000617980957,1.484938383102417,0.03629389405250549,-0.030678406357765198,0.8681278228759766,0.49406036734580994
1685435990.4887197,15,-8.166330337524414,-8.270000457763672,1.4849376678466797,0.03616795316338539,-0.030656183138489723,0.8681236505508423,0.49407854676246643
1685435990.4909425,15,-8.166325569152832,-8.270001411437988,1.4849423170089722,0.03616372495889664,-0.03071846067905426,0.8681457042694092,0.4940362274646759
1685435990.4979193,15,-8.1663236618042,-8.27000904083252,1.4849395751953125,0.03614700958132744,-0.03063586726784706,0.8681307435035706,0.4940686523914337
1685435990.506919,15,-8.166324615478516,-8.270007133483887,1.4849376678466797,0.03620848432183266,-0.03063523769378662,0.8681405782699585,0.49404698610305786
1685435990.514217,15,-8.166324615478516,-8.269997596740723,1.4849385023117065,0.03616907820105553,-0.030710117891430855,0.8681175708770752,0.49408575892448425
1685435990.5231297,15,-8.166321754455566,-8.270004272460938,1.484941840171814,0.03624782711267471,-0.030604248866438866,0.868129551410675,0.49406546354293823
